USER;GAME;DATE;LEVEL;TIME;GENERATED_BLOCKS;SCORE_BLOCKS;ERROR_BLOCKS;HAND_RIGHT;AUTOGRIP;TRACKING_FILE;HMD_POSITION_X;HMD_POSITION_Y;HMD_POSITION_Z;HMD_ROTATION_X;HMD_ROTATION_Y;HMD_ROTATION_Z;LEVELCOMPLETED
raul;BoxAndBlock;20240116_183439;1;60;63;64;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/raul/TrackingData/OculusTracking_20240116_183439.csv;-0,0290;1,0079;0,0289;9,9404;1,5736;359,7625;True

raul;BoxAndBlock;20240116_183706;1;60;66;57;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/raul/TrackingData/OculusTracking_20240116_183706.csv;0,0172;0,9939;-0,0457;15,8486;1,6409;357,8376;True

raul;BoxAndBlock;20240116_183823;1;60;72;62;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/raul/TrackingData/OculusTracking_20240116_183823.csv;0,0574;0,9687;0,0016;20,3337;4,1754;1,5572;True

raul;BoxAndBlock;20240116_184018;1;60;57;57;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/raul/TrackingData/OculusTracking_20240116_184018.csv;0,0201;1,0097;0,0031;5,5741;5,3400;357,8407;True

raul;BoxAndBlock;20240116_184136;1;60;60;59;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/raul/TrackingData/OculusTracking_20240116_184136.csv;0,0256;0,9943;-0,0242;8,1082;10,4532;357,5934;True

raul;BoxAndBlock;20240116_184254;1;60;63;63;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/raul/TrackingData/OculusTracking_20240116_184254.csv;-0,0036;0,9902;-0,0212;13,1429;3,0317;358,4030;True

raul;BoxAndBlock;20240116_184409;1;60;60;61;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/raul/TrackingData/OculusTracking_20240116_184409.csv;0,0065;1,0021;-0,0426;2,3220;3,7543;357,8223;True

raul;BoxAndBlock;20240116_184628;1;60;51;48;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/raul/TrackingData/OculusTracking_20240116_184628.csv;-0,0027;1,0071;-0,0411;3,1394;4,5784;0,3549;True

raul;BoxAndBlock;20240116_184758;1;60;57;55;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/raul/TrackingData/OculusTracking_20240116_184758.csv;0,0826;0,9985;-0,0532;15,1872;9,8342;357,1208;True

raul;BoxAndBlock;20240116_184911;1;60;66;66;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/raul/TrackingData/OculusTracking_20240116_184911.csv;0,0263;0,9966;-0,0198;14,6405;6,8113;359,7667;True

